Case ID,Species,NCBI Taxonomy,GenoType,Modality,Technique,Anatomical Region,Organization,Investigator,Grant Number,Project,R24 Name,R24 Link,Age,Sex,Viewer Link
180925_JH_KM0040Plexflp_emxCRE_h2bEGFP_female,mouse,NCBI:txid10090,PlexFlp;EmxCre;dualh2bGFP,Distribution,STPT,,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,,,F,https://brainviewer.org:3010/HUA_U19_180925
181001_JH_KM0036_PlexinD1_snapEGFP_female,mouse,NCBI:txid10090,PlexinD1CreER;SnapeGFP,Distribution,STPT,,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,,12,F,https://brainviewer.org:3010/HUA_U19_181001
190529_JH_Sema3EAi14_459_female,mouse,NCBI:txid10090,Sema3E;Ai14,Distribution,STPT,N/A,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,,,F,https://brainviewer.org:3010/HUA_U19_190529
190530_JH_KM_451_PlexinD1_SnapEGFP_female,mouse,NCBI:txid10090,PlexinD1;Snap25EGFP,Distribution,STPT,N/A,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,,,F,https://brainviewer.org:3010/HUA_U19_190530
190612_JH_KM_452_PlexinD1Snap25EGFP_female,mouse,NCBI:txid10090,PlexinD1;Snap25EGFP,Distribution,STPT,N/A,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,,,F,https://brainviewer.org:3010/HUA_U19_190612
191003_JH_KM_FoxP2IresCre_TV_2_male,mouse,NCBI:txid10090,Foxp2Cre systemic AAV injection,Distribution,STPT,N/A,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,,,M,https://brainviewer.org:3010/HUA_U19_191003
191004_JH_KM_FoxP2IresCre_TV_3_male,mouse,NCBI:txid10090,Foxp2Cre systemic AAV injection,Distribution,STPT,N/A,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,,,M,https://brainviewer.org:3010/HUA_U19_191004
191210_JH_KM_Cux1Ai14_P14P21i_sacP30_male5,mouse,NCBI:txid10090,Cux1CreER;Ai14,Distribution,STPT,,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,,4,M,https://brainviewer.org:3010/HUA_U19_191210
191213_JH_KM_Cux1Ai14_P14P21i_male4,mouse,NCBI:txid10090,Cux1CreER;Ai14,Distribution,STPT,,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,,4,M,https://brainviewer.org:3010/HUA_U19_191213
200224_JH_KM_Tbr1CreER_Ai14_male,mouse,NCBI:txid10090,Tbr1CreER;Ai14,Distribution,STPT,,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,,8,M,https://brainviewer.org:3010/HUA_U19_200224
210303_JH_HM02_Fezf2_Ai148_C13M1_female_processed,mouse,NCBI:txid10090,FezF2; Ai148,Distribution,STPT,,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,,,,https://brainviewer.org:3010/HUA_U19_210303
