Case ID,Species,NCBI Taxonomy,GenoType,Modality,Technique,Anatomical Region,Organization,Investigator,Grant Number,Project,R24 Name,R24 Link,Age,Sex,Viewer Link,AP,ML,DV,Injection Type,Injection Type
SW170711-03B,mouse,NCBI:txid10090,C57BL/6J,Tracer Injected,retrograde,MOs-ul,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/84/c1/84c11fe5e4550ca0/SW170711-03B/,NA,NA,NA,1.945,1,0.55,CTB 647,"iontophoresis (10 min, 7secOn/Off)"
SW170711-03B,mouse,NCBI:txid10090,C57BL/6J,Tracer Injected,retrograde,SSp-ul,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/84/c1/84c11fe5e4550ca0/SW170711-03B/,NA,NA,NA,0.145,2.65,0.65,FG,"iontophoresis (10 min, 7secOn/Off)"
SW170711-04A,mouse,NCBI:txid10090,C57BL/6J,Tracer Injected,retrograde,MOs-ul,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/84/c1/84c11fe5e4550ca0/SW170711-04A/,NA,NA,NA,1.945,1,0.55,CTB 488,pressure (50nl)
SW170711-04A,mouse,NCBI:txid10090,C57BL/6J,Tracer Injected,retrograde,SSp-ul,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/84/c1/84c11fe5e4550ca0/SW170711-04A/,NA,NA,NA,0.145,2.65,0.65,CTB 555,pressure (50nl)
SW170711-04A,mouse,NCBI:txid10090,C57BL/6J,Tracer Injected,retrograde,SSs,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/84/c1/84c11fe5e4550ca0/SW170711-04A/,NA,NA,NA,-1,4.6,1.65,CTB 647,"iontophoresis (10 min, 7secOn/Off)"
SW170711-04A,mouse,NCBI:txid10090,C57BL/6J,Tracer Injected,retrograde,MOp-ul,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/84/c1/84c11fe5e4550ca0/SW170711-04A/,NA,NA,NA,1.045,1.6,0.7,FG,"iontophoresis (10 min, 7secOn/Off)"
SW170711-05A,mouse,NCBI:txid10090,C57BL/6J,Tracer Injected,retrograde,SSs-cv,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/84/c1/84c11fe5e4550ca0/SW170711-05A/,NA,NA,NA,-1,4.6,1.65,CTB 488,pressure (50nl)
SW170711-05A,mouse,NCBI:txid10090,C57BL/6J,Tracer Injected,retrograde,MOp-ul,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/84/c1/84c11fe5e4550ca0/SW170711-05A/,NA,NA,NA,1.045,1.6,0.7,CTB 555,pressure (50nl)
SW170711-05A,mouse,NCBI:txid10090,C57BL/6J,Tracer Injected,retrograde,SSp-ul,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/84/c1/84c11fe5e4550ca0/SW170711-05A/,NA,NA,NA,0.145,2.65,0.65,CTB 647,"iontophoresis (10 min, 7secOn/Off)"
SW170711-05A,mouse,NCBI:txid10090,C57BL/6J,Tracer Injected,retrograde,MOs-ul,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/84/c1/84c11fe5e4550ca0/SW170711-05A/,NA,NA,NA,1.945,1,0.55,FG,"iontophoresis (10 min, 7secOn/Off)"
SW170811-01A,mouse,NCBI:txid10090,C57BL/6J,Tracer Injected,retrograde,SSs-cv,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/84/c1/84c11fe5e4550ca0/SW170811-01A/,NA,NA,NA,-0.9,4.5,1.55,CTB 488,pressure (50nl)
SW170811-01A,mouse,NCBI:txid10090,C57BL/6J,Tracer Injected,retrograde,MOp-ul,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/84/c1/84c11fe5e4550ca0/SW170811-01A/,NA,NA,NA,1.045,1.6,0.7,CTB 555,pressure (50nl)
SW170811-01A,mouse,NCBI:txid10090,C57BL/6J,Tracer Injected,retrograde,SSp-ul,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/84/c1/84c11fe5e4550ca0/SW170811-01A/,NA,NA,NA,0.145,2.65,0.65,CTB 647,"iontophoresis (10 min, 7secOn/Off)"
SW170811-01A,mouse,NCBI:txid10090,C57BL/6J,Tracer Injected,retrograde,MOs-ul,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/84/c1/84c11fe5e4550ca0/SW170811-01A/,NA,NA,NA,1.945,1,0.;55,FG,"iontophoresis (10 min, 7secOn/Off)"
SW170811-02A,mouse,NCBI:txid10090,C57BL/6J,Tracer Injected,retrograde,SSp-ul,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/84/c1/84c11fe5e4550ca0/SW170811-02A/,NA,NA,NA,0.145,2.65,0.65,CTB 488,pressure (50nl)
SW170811-02A,mouse,NCBI:txid10090,C57BL/6J,Tracer Injected,retrograde,MOs-ul,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/84/c1/84c11fe5e4550ca0/SW170811-02A/,NA,NA,NA,1.945,1,0.55,CTB 555,pressure (50nl)
SW170811-02A,mouse,NCBI:txid10090,C57BL/6J,Tracer Injected,retrograde,MOp-ul,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/84/c1/84c11fe5e4550ca0/SW170811-02A/,NA,NA,NA,1.045,1.6,0.7,CTB647,"iontophoresis (10 min, 7secOn/Off)"
SW170811-02A,mouse,NCBI:txid10090,C57BL/6J,Tracer Injected,retrograde,SSs-cv,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/84/c1/84c11fe5e4550ca0/SW170811-02A/,NA,NA,NA,-0.9,4.5,1.55,FG,"iontophoresis (10 min, 7secOn/Off)"
SW170816-01A,mouse,NCBI:txid10090,C57Bl6,Tracer Injected,retrograde,MedSC,"University of California, Los Angeles",Hongwei Dong,U19MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/75/6c/756cd8f5634d1b88/1U19MH114821-01/SW170816-01A,NA,NA,NA,3.3,0.75,1.7,CTB 488,pressure (50nl)
SW170816-01A,mouse,NCBI:txid10090,C57Bl6,Tracer Injected,retrograde,MedSC,"University of California, Los Angeles",Hongwei Dong,U19MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/75/6c/756cd8f5634d1b88/1U19MH114821-01/SW170816-01A,NA,NA,NA,3.3,1.2,2,CTB 555,pressure (50nl)
SW170816-01A,mouse,NCBI:txid10090,C57Bl6,Tracer Injected,retrograde,MedSC,"University of California, Los Angeles",Hongwei Dong,U19MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/75/6c/756cd8f5634d1b88/1U19MH114821-01/SW170816-01A,NA,NA,NA,3.3,0.4,1.6,CTB 647,"iontophoresis (10 min, 7secOn/Off)"
SW170816-01A,mouse,NCBI:txid10090,C57Bl6,Tracer Injected,retrograde,MedSC,"University of California, Los Angeles",Hongwei Dong,U19MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/75/6c/756cd8f5634d1b88/1U19MH114821-01/SW170816-01A,NA,NA,NA,3.3,1.6,2.2,FG,"iontophoresis (10 min, 7secOn/Off)"
SW170911-01A,mouse,NCBI:txid10090,C57BL/6J,Tracer Injected,retrograde,RSPv,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/84/c1/84c11fe5e4550ca0/SW170911-01A/,NA,NA,NA,-3.58,1,-0.9,CTB 488,pressure (50nl)
SW170911-01A,mouse,NCBI:txid10090,C57BL/6J,Tracer Injected,retrograde,failed,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/84/c1/84c11fe5e4550ca0/SW170911-01A/,NA,NA,NA,NA,NA,,CTB 555,pressure (50nl)
SW170911-01A,mouse,NCBI:txid10090,C57BL/6J,Tracer Injected,retrograde,failed,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/84/c1/84c11fe5e4550ca0/SW170911-01A/,NA,NA,NA,NA,NA,,CTB 647,"iontophoresis (10 min, 7secOn/Off)"
SW170911-01A,mouse,NCBI:txid10090,C57BL/6J,Tracer Injected,retrograde,RE,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/84/c1/84c11fe5e4550ca0/SW170911-01A/,NA,NA,NA,-0.555,0.5,-4.5,FG,"iontophoresis (10 min, 7secOn/Off)"
SW170911-02A,mouse,NCBI:txid10090,C57BL/6J,Tracer Injected,retrograde,RE,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/84/c1/84c11fe5e4550ca0/SW170911-02A/,NA,NA,NA,-0.755,0.4,-4.6,1 FG,"iontophoresis (5 min, 7secOn/Off)"
SW170911-02A,mouse,NCBI:txid10090,C57BL/6J,Tracer Injected,retrograde,AM,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/84/c1/84c11fe5e4550ca0/SW170911-02A/,NA,NA,NA,-0.755,0.7,-4.1,2 CTB 555,pressure (50nl)
SW170911-02A,mouse,NCBI:txid10090,C57BL/6J,Tracer Injected,retrograde,PVp,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/84/c1/84c11fe5e4550ca0/SW170911-02A/,NA,NA,NA,-2.48,0.05,-6.35,3 CTB 647,"iontophoresis (10 min, 7secOn/Off)"
SW170911-02A,mouse,NCBI:txid10090,C57BL/6J,Tracer Injected,retrograde,RSPd,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/84/c1/84c11fe5e4550ca0/SW170911-02A/,NA,NA,NA,-3.455,0.6,-0.5,4 CTB 488,pressure (50nl)
SW170928-04A,mouse,NCBI:txid10090,C57Bl6,Tracer Injected,retrograde,RE,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/11/5b/115bda6eacd6507c/1U01MH114829-01/SW170928-04A,NA,NA,NA,-0.655,0.2,-4.75,1 CTB 647,"iontophoresis (10 min, 7secOn/Off)"
SW170928-04A,mouse,NCBI:txid10090,C57Bl6,Tracer Injected,retrograde,RSPv,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/11/5b/115bda6eacd6507c/1U01MH114829-01/SW170928-04A,NA,NA,NA,-1.455,0.1,-1,2 CTB 488,pressure (50nl)
SW170928-04A,mouse,NCBI:txid10090,C57Bl6,Tracer Injected,retrograde,SC,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/11/5b/115bda6eacd6507c/1U01MH114829-01/SW170928-04A,NA,NA,NA,-4.08,1.85,-2.2,3 CTB 555,pressure (50nl)
SW171016-01A,mouse,NCBI:txid10090,C57Bl6,Tracer Injected,retrograde,AD,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/11/5b/115bda6eacd6507c/1U01MH114829-01/SW171016-01A,NA,NA,NA,-0.555,0.7,-3.25,1 CTB 647,"iontophoresis (10 min, 7secOn/Off)"
SW171016-01A,mouse,NCBI:txid10090,C57Bl6,Tracer Injected,retrograde,AV,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/11/5b/115bda6eacd6507c/1U01MH114829-01/SW171016-01A,NA,NA,NA,-0.655,1.1,-3.5,2 CTB 488,pressure (50nl)
SW171016-01A,mouse,NCBI:txid10090,C57Bl6,Tracer Injected,retrograde,AM,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/11/5b/115bda6eacd6507c/1U01MH114829-01/SW171016-01A,NA,NA,NA,-0.655,0.75,-4.3,3 CTB 555,pressure (50nl)
SW171016-02A,mouse,NCBI:txid10090,C57Bl6,Tracer Injected,retrograde,AD,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/11/5b/115bda6eacd6507c/1U01MH114829-01/SW171016-02A,NA,NA,NA,-0.555,0.7,-3.25,1 CTB 647,"iontophoresis (10 min, 7secOn/Off)"
SW171016-02A,mouse,NCBI:txid10090,C57Bl6,Tracer Injected,retrograde,AV,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/11/5b/115bda6eacd6507c/1U01MH114829-01/SW171016-02A,NA,NA,NA,-0.655,1.1,-3.5,2 CTB 488,pressure (50nl)
SW171016-02A,mouse,NCBI:txid10090,C57Bl6,Tracer Injected,retrograde,AM,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/11/5b/115bda6eacd6507c/1U01MH114829-01/SW171016-02A,NA,NA,NA,-0.655,0.75,-4.3,3 CTB 555,pressure (50nl)
SW171031-01A,mouse,NCBI:txid10090,NA,Tracer Injected,retrograde,CA1i,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/e8/20/e820c8267a0cbedb/2018Q4_U01/SW171031-01A/,NA,NA,NA,-3.18,3.8,-4,1 CTB 647,"iontophoresis (10 min, 7secOn/Off)"
SW171031-01A,mouse,NCBI:txid10090,NA,Tracer Injected,retrograde,SUBvv,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/e8/20/e820c8267a0cbedb/2018Q4_U01/SW171031-01A/,NA,NA,NA,-3.455,3,-5.25,2 CTB 488,pressure (50nl)
SW171031-01A,mouse,NCBI:txid10090,NA,Tracer Injected,retrograde,CA3,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/e8/20/e820c8267a0cbedb/2018Q4_U01/SW171031-01A/,NA,NA,NA,-2.555,3,-3,3 CTB 555,pressure (50nl)
