Sample ID,Donor ID,Species,Species NCBI Taxonomy ID,Genotype,Modality,Technique,Anatomical Structure,Subspecimen Type,Total Processed Subspecimens,Organization,Investigator,Grant Number,Project,R24 Name (CV),R24 link,Comments,Metadata Submission,Age,Sex,QC,Download Link,Visualization Link,Soma_X(CCFv3_1𝜇𝑚),Soma_Y(CCFv3_1𝜇𝑚),Soma_Z(CCFv3_1𝜇𝑚)
906581896,475347,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,53 Days,Male,Automated Neuron Morphology ,,,9199.607398,1044.718091,7716.943489
906545713,475347,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,53 Days,Male,Automated Neuron Morphology ,,,8966.850109,1341.034339,8404.826515
907125584,475348,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,54 Days,Male,Automated Neuron Morphology ,,,9214.777045,1299.289703,3293.675089
907148849,475348,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,54 Days,Male,Automated Neuron Morphology ,,,9124.161654,1595.679293,2715.450798
908675487,475349,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp6a,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,56 Days,Male,Manual Neuron Morphology ,,,9456.801922,1624.431465,3133.865106
908602736,475349,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,56 Days,Male,Automated Neuron Morphology ,,,9570.351755,1455.521027,8381.458977
908639803,475349,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,56 Days,Male,Automated Neuron Morphology ,,,9579.254123,1426.384267,8207.455003
908615401,475349,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,56 Days,Male,Automated Neuron Morphology ,,,8995.245062,1507.203037,8432.878542
908628525,475349,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,56 Days,Male,Automated Neuron Morphology ,,,8927.481571,1728.401267,8945.04901
908644527,475349,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISl5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,56 Days,Male,Automated Neuron Morphology ,,,8855.726414,1962.629364,9245.756528
