Sample ID,Donor ID,Species,Species NCBI Taxonomy ID,Genotype,Modality,Technique,Anatomical Structure,Subspecimen Type,Total Processed Subspecimens,Organization,Investigator,Grant Number,Project,R24 Name (CV),R24 link,Comments,Metadata Submission,Age,Sex,QC,Download Link,Visualization Link,Soma_X(CCFv3_1𝜇𝑚),Soma_Y(CCFv3_1𝜇𝑚),Soma_Z(CCFv3_1𝜇𝑚)
Cai_n36,,mouse,ID†10090,C57BL/6,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120005",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n36,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n37,,mouse,ID†10090,C57BL/6,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120006",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n37,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n38,,mouse,ID†10090,C57BL/6,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120007",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n38,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n42,,mouse,ID†10090,C57BL/6,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120008",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n42,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n43,,mouse,ID†10090,C57BL/6,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120009",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n43,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n45,,mouse,ID†10090,C57BL/6,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120010",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n45,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n46,,mouse,ID†10090,C57BL/6,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120011",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n46,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n47,,mouse,ID†10090,C57BL/6,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120012",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n47,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n48,,mouse,ID†10090,C57BL/6,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120013",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n48,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n52,,mouse,ID†10090,C57BL/6,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120014",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n52,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n53,,mouse,ID†10090,C57BL/6,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120015",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n53,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n58,,mouse,ID†10090,C57BL/6,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120016",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n58,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n24,,mouse,ID†10090,"Pvalb::cre, Ai14",cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120017",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n24,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n25,,mouse,ID†10090,"Pvalb::cre, Ai14",cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120018",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n25,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n10,,mouse,ID†10090,"Pvalb::cre, Ai14",cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120019",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n10,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n11,,mouse,ID†10090,"Pvalb::cre, Ai14",cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120020",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n11,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n16,,mouse,ID†10090,"Pvalb::cre, Ai14",cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120021",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n16,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n20,,mouse,ID†10090,"Pvalb::cre, Ai14",cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120022",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n20,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n21,,mouse,ID†10090,"Pvalb::cre, Ai14",cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120023",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n21,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n26,,mouse,ID†10090,"Pvalb::cre, Ai14",cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120024",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n26,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n28,,mouse,ID†10090,"Pvalb::cre, Ai14",cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120025",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n28,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n3,,mouse,ID†10090,"Pvalb::cre, Ai14",cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120026",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n3,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n31,,mouse,ID†10090,"Pvalb::cre, Ai14",cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120027",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n31,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n33,,mouse,ID†10090,"Pvalb::cre, Ai14",cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120028",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n33,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n35,,mouse,ID†10090,"Pvalb::cre, Ai14",cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120029",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n35,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n39,,mouse,ID†10090,"Pvalb::cre, Ai14",cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120030",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n39,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n40,,mouse,ID†10090,"Pvalb::cre, Ai14",cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120031",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n40,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n5,,mouse,ID†10090,"Pvalb::cre, Ai14",cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120032",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n5,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n60,,mouse,ID†10090,"Pvalb::cre, Ai14",cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120033",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n60,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n61,,mouse,ID†10090,"Pvalb::cre, Ai14",cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120034",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n61,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n62,,mouse,ID†10090,"Pvalb::cre, Ai14",cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120035",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n62,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n65,,mouse,ID†10090,"Pvalb::cre, Ai14",cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120036",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n65,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n68,,mouse,ID†10090,"Pvalb::cre, Ai14",cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120037",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n68,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n8,,mouse,ID†10090,"Pvalb::cre, Ai14",cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120038",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n8,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n9,,mouse,ID†10090,"Pvalb::cre, Ai14",cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120039",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n9,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n1,,mouse,ID†10090,PV-Cre; SOM-Cre,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120040",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=Cai_n1,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n15,,mouse,ID†10090,PV-Cre; SOM-Cre,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120041",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n15,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n19,,mouse,ID†10090,PV-Cre; SOM-Cre,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120042",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n19,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n2,,mouse,ID†10090,PV-Cre; SOM-Cre,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120043",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=Cai_n2,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n22,,mouse,ID†10090,PV-Cre; SOM-Cre,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120044",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n22,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n23,,mouse,ID†10090,PV-Cre; SOM-Cre,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120045",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n23,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n49,,mouse,ID†10090,PV-Cre; SOM-Cre,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120046",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n49,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n12,,mouse,ID†10090,PV-Cre; SOM-Cre,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120047",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n12,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n13,,mouse,ID†10090,PV-Cre; SOM-Cre,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120048",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n13,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n14,,mouse,ID†10090,PV-Cre; SOM-Cre,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120049",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n14,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n17,,mouse,ID†10090,PV-Cre; SOM-Cre,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120050",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n17,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n18,,mouse,ID†10090,PV-Cre; SOM-Cre,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120051",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n18,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n27,,mouse,ID†10090,PV-Cre; SOM-Cre,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120052",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n27,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n29,,mouse,ID†10090,PV-Cre; SOM-Cre,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120053",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n29,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n30,,mouse,ID†10090,PV-Cre; SOM-Cre,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120054",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n30,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n32,,mouse,ID†10090,PV-Cre; SOM-Cre,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120055",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n32,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n34,,mouse,ID†10090,PV-Cre; SOM-Cre,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120056",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n34,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n4,,mouse,ID†10090,PV-Cre; SOM-Cre,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120057",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n4,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n41,,mouse,ID†10090,PV-Cre; SOM-Cre,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120058",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n41,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n44,,mouse,ID†10090,PV-Cre; SOM-Cre,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120059",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n44,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n50,,mouse,ID†10090,PV-Cre; SOM-Cre,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120060",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n50,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n51,,mouse,ID†10090,PV-Cre; SOM-Cre,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120061",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n51,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n54,,mouse,ID†10090,PV-Cre; SOM-Cre,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120062",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n54,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n55,,mouse,ID†10090,PV-Cre; SOM-Cre,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120063",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n55,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n56,,mouse,ID†10090,PV-Cre; SOM-Cre,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120064",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n56,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n57,,mouse,ID†10090,PV-Cre; SOM-Cre,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120065",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n57,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n59,,mouse,ID†10090,PV-Cre; SOM-Cre,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120066",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n59,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n6,,mouse,ID†10090,PV-Cre; SOM-Cre,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120067",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n6,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n63,,mouse,ID†10090,PV-Cre; SOM-Cre,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120068",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n63,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n64,,mouse,ID†10090,PV-Cre; SOM-Cre,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120069",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n64,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n67,,mouse,ID†10090,PV-Cre; SOM-Cre,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120070",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n67,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n7,,mouse,ID†10090,PV-Cre; SOM-Cre,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120071",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n7,,Yes,28-56d,Male/Female,pass,,,,,
Etv1-MORF3_MS08-1_30x_Ctx_c01-1_FusionStitcher_offsets_x02939_y01982_z008_Translated,,Mouse,,"C57BL/6J, ETV1-Cre ; MORF3",cell morphology,MORF Genetic Sparse Labeling,Neocortex,Principal>Pyramidal,1,"University of California, Los Angeles",Hongwei Dong,R01NS133744,MORF-Dong,NeuroMorpho.Org,neuromorpho.org/dableFiles/biccn-wiring-flagship/Supplementary/biccn.zip,,"Yes, biccn\BICCN-DOI\Dong-lab",P56,Male,pass,,,,,
Etv1-MORF3_MS08-1_30x_Ctx_c01-1_FusionStitcher_offsets_x02970_y00000_z000_Translated,,Mouse,,"C57BL/6J, ETV1-Cre ; MORF3",cell morphology,MORF Genetic Sparse Labeling,Neocortex,Principal>Pyramidal,1,"University of California, Los Angeles",Hongwei Dong,R01NS133744,MORF-Dong,NeuroMorpho.Org,neuromorpho.org/dableFiles/biccn-wiring-flagship/Supplementary/biccn.zip,,"Yes, biccn\BICCN-DOI\Dong-lab",P56,Male,pass,,,,,
Etv1-MORF3_MS08-1_30x_Ctx_c01-1_FusionStitcher_offsets_x05923_y05494_z245_Translated,,Mouse,,"C57BL/6J, ETV1-Cre ; MORF3",cell morphology,MORF Genetic Sparse Labeling,Neocortex,Principal>Pyramidal,1,"University of California, Los Angeles",Hongwei Dong,R01NS133744,MORF-Dong,NeuroMorpho.Org,neuromorpho.org/dableFiles/biccn-wiring-flagship/Supplementary/biccn.zip,,"Yes, biccn\BICCN-DOI\Dong-lab",P56,Male,pass,,,,,
